store_num,mon_hours,tues_hours,wed_hours,thurs_hours,fri_hours,sat_hours,sun_hours,mon_open,mon_close,tues_open,tues_close,wed_open,wed_close,thurs_open,thurs_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
2,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,Closed,11,20,11,18,11,18,11,20,11,18,9,17,99,99
5,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,99,99,11,18,11,19,11,18,10,17,99,99
6,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,99,99,11,18,11,19,11,18,10,17,99,99
17,10 - 8,10 - 6,11 - 6,10 - 8,10 - 6,9 - 5,12 - 5,10,20,10,18,10,18,10,20,10,18,9,17,12,17
18,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,9 - 5,12 - 5,11,20,11,20,11,20,11,20,11,20,9,17,12,17
301,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,11,18,11,18,11,19,11,18,10,17,99,99
304,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,Closed,11,20,11,18,11,18,11,20,11,18,9,17,99,99
305,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,11,18,11,18,11,19,11,18,10,17,99,99
307,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,9,17,12,17
308,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,11,19,11,18,11,18,11,19,11,18,10,17,99,99
310,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,10 - 5,12 - 5,11,20,11,18,11,18,11,20,11,18,10,17,12,17
311,10 - 8,10 - 6,10 - 6,10 - 8,10 - 6,9 - 5,12 - 5,10,20,10,18,10,18,10,20,10,18,9,17,12,17
312,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,10 - 5,12 - 5,11,20,11,19,11,19,11,20,11,19,10,17,12,17
314,11 - 8,11 - 7,11 - 7,11 - 8,11 - 7,10 - 5,12 - 5,11,20,11,19,11,19,11,20,11,19,10,17,12,17
315,10 - 8,10 - 8,10 - 8,10 - 8,10 - 8,9 - 5,12 - 5,10,20,10,20,10,20,10,20,10,20,9,17,12,17
