store_num,dist_manager,store_name,street_address,city,state,zip_code,phone_number,manager,latitude,longitude,mon_hours,tues_hours,wed_hours,thurs_hours,fri_hours,sat_hours,sun_hours,shorthand,google_url,apple_url,email,regional_district_manager_email,district_manager_email,area_manager_email,manager_email,mon_open,mon_close,tues_open,tues_close,wed_open,wed_close,thurs_open,thurs_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
2,LaTanya,West University,5524 Weslayan Street,Houston,TX,77005,713-666-2249,Jenara Thompson,29.72292599,-95.44213572,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,Closed,weslaya,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Weslayan+Plaza,+5524+Weslayan+St,+Houston,+TX+77005/@29.7229251,-95.4443257,17z/data=!3m1!5s0x8640c1aa2bf45dc7:0xe8c76feae2303ec0!4m13!1m4!3m3!1s0x8640c1a9f4f0b405:0x46c021283d3a490a!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8640c1a9f4f0b405:0x46c021283d3a490a!2m2!1d-95.442137!2d29.7229251","http://maps.apple.com/?daddr=5524,Weslayan+Street,Houston,Texas,77005",store.002@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,,jenara.thompson@alsformalwear.com,11,20,11,18,11,18,11,20,11,18,9,17,99,99
5,LaTanya,Northline Commons,"4400 North Freeway, Suite 200B",Houston,TX,77022,713-692-6051,Javier Villegas,29.82990597,-95.38084548,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,nrthlin,"https://www.google.com/maps/dir//Al's+Formal+Wear,+4400+North+Freeway,+Suite+200B,+Northline+Commons,+Houston,+TX+77022/@29.829911,-95.3830317,17z/data=!3m1!5s0x8640b86f7cdece3d:0x7edf0a3a654b54d5!4m13!1m4!3m3!1s0x8640b8657f152c6b:0xf81da5487b8064f4!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8640b8657f152c6b:0xf81da5487b8064f4!2m2!1d-95.380843!2d29.829911","http://maps.apple.com/?daddr=4400,North+Freeway,Houston,Texas,77022",store.005@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,shuranda.rougeau@alsformalwear.com,javier.villegas@alsformalwear.com,11,19,99,99,11,18,11,19,11,18,10,17,99,99
6,LaTanya,Westheimer,7505 Westheimer Road,Houston,TX,77063,713-781-7191,n/a,29.73721651,-95.5014813,11 - 7,Closed,11 - 6,11 - 7,11 - 6,10 - 5,Closed,westhei,"https://www.google.com/maps/dir//Al's+Formal+Wear,+7505+Westheimer+Rd,+Houston,+TX+77063/@29.737217,-95.5036707,17z/data=!4m13!1m4!3m3!1s0x8640c3b920555127:0x598df2fbad6f4b09!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8640c3b920555127:0x598df2fbad6f4b09!2m2!1d-95.501482!2d29.737217","http://maps.apple.com/?daddr=7505,Westheimer+Road,Houston,Texas,77063",store.006@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,,,11,19,99,99,11,18,11,19,11,18,10,17,99,99
17,LaTanya,Medical Center,7807 Main Street,Houston,TX,77030,713-791-1885,Indra Fajardo,29.6948704,-95.41329836,10 - 8,10 - 6,10 - 6,10 - 8,10 - 6,9 - 5,12  - 5,medcntr,"https://www.google.com/maps/dir//Al's+Formal+Wear,+7807+Main+St,+Houston,+TX+77030/@29.69487,-95.4154877,17z/data=!4m13!1m4!3m3!1s0x8640c0166e877601:0x830fdd7c5ef004f0!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8640c0166e877601:0x830fdd7c5ef004f0!2m2!1d-95.413299!2d29.69487","http://maps.apple.com/?daddr=7807,Main+Street,Houston,Texas,77030",store.017@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,,indra.fajardo@alsformalwear.com,10,20,10,18,10,18,10,20,10,18,9,17,12,17
18,LaTanya,Baybrook,"1201 West Bay Area Boulevard, Suite 102",Webster,TX,77598,281-338-6648,Lupe Regalado,29.53774636,-95.14015019,11 - 8,11 - 8,11 - 8,11 - 8,11 - 8,9 - 5,12  - 5,baybroo,"https://www.google.com/maps/dir//Al's+Formal+Wear,+1201+Bay+Area+Boulevard,+Suite+102,+Webster,+TX+77598/@29.537742,-95.1422787,17z/data=!4m13!1m4!3m3!1s0x86409c9cc2ab09d5:0x4e790f9e48c64393!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x86409c9cc2ab09d5:0x4e790f9e48c64393!2m2!1d-95.14009!2d29.537742","http://maps.apple.com/?daddr=1201,Bay+Area+Boulevard,Webster,Texas,77598",store.018@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,,lupe.regalado@alsformalwear.com,11,20,11,20,11,20,11,20,11,20,9,17,12,17
301,Leonard,Calder Street,2462 Calder Street,Beaumont,TX,77702,409-832-5984,Scott Massey,30.08587079,-94.12403,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,beaumon,"https://www.google.com/maps/dir//Al's+Formal+Wear,+2462+Calder+Ave,+Beaumont,+TX+77702/@30.085869,-94.1262207,17z/data=!4m13!1m4!3m3!1s0x863ecb311dd84c23:0x50a5132d0f5fa9e1!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x863ecb311dd84c23:0x50a5132d0f5fa9e1!2m2!1d-94.124032!2d30.085869","http://maps.apple.com/?daddr=2462,Calder+Avenue,Beaumont,Texas,77702",store.301@alsformalwear.com,leonard.llanes@alsformalwear.com,,randi.castleberry@alsformalwear.com,scott.massey@alsformalwear.com,11,19,11,18,11,18,11,19,11,18,10,17,99,99
304,Leonard,Bryan College Station,"1100 Harvey Road, Suite A",College Station,TX,77840,979-693-0947,R. P. Ramirez,30.62378112,-96.30851977,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,Closed,collgst,"https://www.google.com/maps/dir//Al's+Formal+Wear,+1100+Harvey+Rd,+College+Station,+TX+77840/@30.623777,-96.3107087,17z/data=!4m13!1m4!3m3!1s0x8646846c4805e6ab:0x570838c920bb0e3e!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x8646846c4805e6ab:0x570838c920bb0e3e!2m2!1d-96.30852!2d30.623777","http://maps.apple.com/?daddr=1100,Harvey+Road,College+Station,Texas,77840",store.304@alsformalwear.com,leonard.llanes@alsformalwear.com,,dandra.jacinto@alsformalwear.com,rp.ramirez@alsformalwear.com,11,20,11,18,11,18,11,20,11,18,9,17,99,99
305,LaTanya,Conroe,1416B North 336 Loop West,Conroe,TX,77304,936-756-8151,Desiree Rosales,30.3341811,-95.48072596,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,conroe,"https://www.google.com/maps/dir//Al's+Formal+Wear,+Montgomery+Plaza,+1416+N+Loop+336+W,+Conroe,+TX+77304/@30.334179,-95.4829157,17z/data=!3m1!5s0x86473c1cf36410cf:0x7edf0a3a4b4b72f5!4m13!1m4!3m3!1s0x864738982ab39cd3:0x52f499a4ac9aea84!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x864738982ab39cd3:0x52f499a4ac9aea84!2m2!1d-95.480727!2d30.334179","http://maps.apple.com/?daddr=1416,North+Loop+336+West,Conroe,Texas,77304",store.305@alsformalwear.com,leonard.llanes@alsformalwear.com,latanya.johnson@alsformalwear.com,shuranda.rougeau@alsformalwear.com,desirree.rosales@alsformalwear.com,11,19,11,18,11,18,11,19,11,18,10,17,99,99
307,Leonard,Eastex Freeway,5912 Eastex Freeway,Beaumont,TX,77708,409-898-3862,Randi Castleberry,30.12765281,-94.15644176,11 - 8,11 - 6,11 - 6,11 - 8,11 - 6,9 - 5,12  - 5,easttex,"https://www.google.com/maps/dir//Al's+Formal+Wear,+North+Park+Plaza,+Beaumont,+TX+77708/@30.127643,-94.1586307,17z/data=!4m13!1m4!3m3!1s0x863933635d90d967:0x4999e304176dbca7!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x863933635d90d967:0x4999e304176dbca7!2m2!1d-94.156442!2d30.127643","http://maps.apple.com/?daddr=North+Park+Plaza,Beaumont,Texas,77708",store.307@alsformalwear.com,leonard.llanes@alsformalwear.com,,,randi.castleberry@alsformalwear.com,11,20,11,18,11,18,11,20,11,18,9,17,12,17
308,Leonard,Lufkin,"4600 South Medford Drive, Suite 1220",Lufkin,TX,75901,936-634-5551,Melanie Evans,31.31202962,-94.72579616,11 - 7,11 - 6,11 - 6,11 - 7,11 - 6,10 - 5,Closed,lufkin,"https://www.google.com/maps/dir//Al's+Formal+Wear,+4600+South+Medford,+Suite+1220+Lufkin+Mall,+Lufkin+Mall,+Lufkin,+TX+75901/@31.3152996,-94.7309789,21z/data=!4m13!1m4!3m3!1s0x86383d1b596d063b:0x2940e81a5e6a0855!2sAl's+Formal+Wear!3b1!4m7!1m0!1m5!1m1!1s0x86383d1b596d063b:0x2940e81a5e6a0855!2m2!1d-94.725797!2d31.312024","http://maps.apple.com/?daddr=4600,South+Medford,Lufkin,Texas,75901",store.308@alsformalwear.com,leonard.llanes@alsformalwear.com,,randi.castleberry@alsformalwear.com,melanie.evans@alsformalwear.com,11,19,11,18,11,18,11,19,11,18,10,17,99,99
