page,description,instructions,text,content_type,alt_tag
global,promo-bar-line-1,"Wrap links in <a href=""link URL"">text</a> tags",ATTENDING PROM? AL'S HAS YOU COVERED!,text,
global,promo-bar-line-2,"Wrap links in <a href=""link URL"">text</a> tags",Get a Discount Coupon or view Prom Offers,text,
home,image-slider-1,Ideal image size X px x X px optimized jpeg. 1 slider required.,,image,image-slider-1
home,image-slider-2,Ideal image size X px x X px optimized jpeg,,image,image-slider-2
home,image-slider-3,Ideal image size X px x X px optimized jpeg,,image,image-slider-3
home,image-slider-4,Ideal image size X px x X px optimized jpeg,,image,image-slider-4
home,image-slider-5,Ideal image size X px x X px optimized jpeg,,image,image-slider-5
home,image-slider-title-1,Keep under 50 characters,Take 20% Off Retail Accessories March 13th - 19th,text,
home,image-slider-title-2,Keep under 50 characters,Smile Wide On Your Special Day,text,
home,image-slider-title-3,Keep under 50 characters,Dance the Night Away,text,
home,image-slider-title-4,Keep under 50 characters,,text,
home,image-slider-title-5,Keep under 50 characters,,text,
home,image-slider-button-text-1,Keep under 20 characters,STORE FINDER,text,
home,image-slider-button-text-2,Keep under 20 characters,SHOP WEDDINGS,text,
home,image-slider-button-text-3,Keep under 20 characters,SHOP PROM,text,
home,image-slider-button-text-4,Keep under 20 characters,,text,
home,image-slider-button-text-5,Keep under 20 characters,,text,
home,image-slider-button-link-1,"Use just URL extension with '/' if internal (/prom), and full URL with 'http://' or 'https://' if external (www.info.alsformalwear.com)",/locations,link,
home,image-slider-button-link-2,"Use just URL extension with '/' if internal (/prom), and full URL with 'http://' or 'https://' if external (www.info.alsformalwear.com)",/wedding,link,
home,image-slider-button-link-3,"Use just URL extension with '/' if internal (/prom), and full URL with 'http://' or 'https://' if external (www.info.alsformalwear.com)",/prom,link,
home,image-slider-button-link-4,"Use just URL extension with '/' if internal (/prom), and full URL with 'http://' or 'https://' if external (www.info.alsformalwear.com)",,link,
home,image-slider-button-link-5,"Use just URL extension with '/' if internal (/prom), and full URL with 'http://' or 'https://' if external (www.info.alsformalwear.com)",,link,
wedding,wedding-header-image,Ideal image size X px x X px optimized jpeg. 1 slider required.,,image,wedding-header-image
wedding,wedding-header-title,Keep under 25 characters,"Engaged? 
Congratulations",text,
wedding,wedding-header-button-text,Keep under 50 characters,VIEW OFFERS,text,
wedding,wedding-header-button-link,"Use just URL extension with '/' if internal (/prom), and full URL with 'http://' or 'https://' if external (www.info.alsformalwear.com)",/wedding#form-top,link,
wedding,wedding-promo-image,Ideal image size X px x X px optimized jpeg. 1 slider required.,,image,wedding-promo-image
wedding,wedding-promo-title,Keep under 25 characters,"Destination
Wedding?",text,
wedding,wedding-promo-text,,Fit in with your beautiful surroundings with the Island Collection,text,
wedding,wedding-form-title-2,,WEDDING SWEEPSTAKES,text,
wedding,wedding-form-text-2,,"Prize includes these items:

Forever Love Photography Package - Value $1899
Essential Videography Package - Value $899
Essential DJ Package - Value $899
Engagement Photo Package - Value $150
100 each Save The Date Cards - (choice of 5 styles) Value $100
Wedding Invitations - Your choice to $300
Up to 10 Free Tuxedo Rentals - approximate value $2000
The contest to determine the winners will be held at the executive corporate offices of Formal Specialists, Ltd., 7807 Main Street, Houston, Texas,77030 month of December 2016 (date TBD). Due to the wedding services coverage areas, the winning wedding ceremony must take place in a geographic metropolitan market where we provide these services.",text,
prom,prom-header-image,Ideal image size X px x X px optimized jpeg. 1 slider required.,,image,prom-header-image
prom,prom-header-title,Keep under 30 characters,"Prom Night? 
Al's has your look",text,
prom,prom-header-button-text,Keep under 50 characters,MAKE APPOINTMENT,text,
prom,prom-header-button-link,"Use just URL ending if internal (/prom), and full URL if external (www.info.alsformalwear.com)",,link,
prom,prom-promo-image,Ideal image size X px x X px optimized jpeg. 1 slider required.,,image,prom-promo-image
prom,prom-promo-title,Keep under 30 characters,"How does a free 
rental sound?",text,
prom,prom-promo-text,,"If that's music to your ears, then listen up! Sign up to be an Al's Formal Wear Prom Representative. Get five friends to rent their tuxedos from Al's and get yours for free!",text,
prom,prom-promo-button-text,Keep under 50 characters,SIGN UP,text,
prom,prom-promo-button-link,"Use just URL ending if internal (/prom), and full URL if external (www.info.alsformalwear.com)",/prom/#rep-form,link,
prom,prom-prom-form-title-1,,SCHOOL FUNDRAISING CASH BACK PROGRAM,text,
prom,prom-form-text-1,,"We supply you with a unique group code to distribute throughout your organization, family and friends to use for any formal social events.
Al's will pay $5.00 for every tuxedo rental discount code your organization members use.*
It really is that easy.

But wait, there is more.

Al's provides Personal Service and is committed to providing your organization the best service. Our specially trained store managers are professional and ready to assist you. We are positive that you will be satisfied with our staff and merchandise.
* The money that is earned will be presented in the form of a check payable to your organization. For example, if 100 of your attendees redeem the Al's Formal Wear Fundraising discount card, Al's will send your organization a check for $500!

",text,
