name,parent,hex
Amethyst,purples,#593269
Angel ,pinks,#fbebdc
Aqua,greens,#addcca
Ballet,pinks,#eaacad
Begonia,pinks,#ea0c8c
Bellini,pinks,#fbbea9
Berry,pinks,#b9426c
Beyond the Sea,oranges,#d0490f
Blue Box,blues,#5fc3e3
Blue Jay,blues,#8db2de
Blue Pastel,blues,#85aece
Blue Velvet,blues,#102278
Bluebird,blues,#acb2d4
Bouquet,purples,#e6addd
Burnt Orange,oranges,#a84234
Buttercream,yellows,#f3edbd
Cactus,greens,#7d946a
Café,browns,#d2c2ab
Candy Pink,pinks,#edadad
Cantelope,pinks,#ee7d75
Capri,blues,#7cabbf
Capri,blues,#a6d4eb
Cassis,pinks,#cb5cb8
Cobalt,blues,#334599
Cocoa,browns,#68483d
Cognac,browns,#5c2111
Copper,browns,#904331
Coral Reef,pinks,#f48689
Cream,whites,#deccb4
Dusty Rose,pinks,#a97380
Eggplant,purples,#4d2b3b
Fern,greens,#7b703e
Forest,greens,#587642
Glass Green,greens,#73af8b
Harvest Gold,browns,#bb9976
Holly,greens,#013b2f
Horizon,blues,#044b9b
Ice Blue,blues,#e1ecf8
Indigo,blues,#3866a4
Iris,purples,#bfb9d1
Jalapeno,oranges,#d14e24
Lemon Lime,yellows,#e4e15c
Lettuce,greens,#818d7a
Linen,browns,#d3c7ad
Lipstick,pinks,#a90446
Loves First Blush,pinks,#d8b4b6
Mahogany,purples,#782f42
Maize,yellows,#f1c678
Malibu,turquoise,#00b2d0
Mediterranean Blue,blues,#f1c678
Mercury,grays,#797d7e	
Mint,greens,#c2e6dc
Moonlight Waltz,grays,#f1c678
Moss,greens,#60602f
Mulberry,purples,#842a44
Mystic,grays,#c8ced0
Oasis,turquoise,#008394
Olivine,greens,#778151
Once Upon A Time,blues,#7a97b9
Orchid,purples,#8e869f
Palm Beach Coral,pinks,#d97575
Pearl Pink,pinks,#f7e8e4
Peri,purples,#7b80c2
Petal,pinks,#fadfd6
Petunia,pinks,#f0768b
Pewter,grays,#5c606a
Pink Sorbet,pinks,#cd7ca9
Pool,turquoise,#74c6d4
Poppy,reds,#f7392e
Portobello,browns,#9c9095
Punch,pinks,#d9416a
Purple Storm,purples,#442d7b
Quartz,pinks,#b39398
Raisin,browns,#a28381
Raspberry,purples,#852a77
Regency,purples,#482f94
Riviera Sky,blues,#98a9d4
Robins Egg Blue,blues,#b9d4dd
Rose Petal,pinks,#efa6b7
Rosewood,pinks,#9d6e79
Royal Bloom,purples,#c289ac
Royple,purples,#21204d
Ruby,reds,#c61e35
Rum Pink,browns,#bda79a
Salmon,pinks,#faae9e
Sea Glass,blues,#e0f2f2
Seamist,greens,#ccdece
Serene,blues,#4f87a0
Slate,turquoise,#2b6a71
Smoke,grays,#858d90
Spice,oranges,#ca6259
Sterling,grays,#9fa4ae
Stone,browns,#ae9d95
Sugar Plum,pinks,#a76871
Sunbeam,yellows,#fee26d
Sunshine,yellows,#fff0af
Tangelo,oranges,#ef9149
Tarragon,greens,#313e25
Tea Rose,pinks,#fbc8d1
Teal,turquoise ,#28535a
Tealness,turquoise ,#085d72
Tickled,pinks,#f9c3d0
Tiffany Blue,blues,#91c3b8
Truffle,browns,#483436
Victorian Lilac,purples,#766a8e
Viola,purples,#6c3092
Violet,purples,#66247c
Violetta,purples,#ede6f5
Willow,greens,#a89b32
